North Korea,1
Angola,1
Afghanistan,1
Morocco,1
Canada,2
Egypt,3
Hong Kong S.A.R.,1
Bangladesh,2
Spain,2
Thailand,1
Algeria,1
Pakistan,3
Ethiopia,1
Tanzania,1
Mexico,3
Ukraine,1
Turkey,3
Iraq,1
Philippines,2
Myanmar,1
Indonesia,3
United States of America,13
Kenya,1
Singapore,1
United Kingdom,1
Nigeria,3
Australia,2
Brazil,9
Argentina,1
Colombia,3
Chile,1
Austria,1
Sudan,2
Ghana,1
Vietnam,2
Italy,1
Japan,6
Azerbaijan,1
Ecuador,1
Iran,2
Saudi Arabia,2
Senegal,1
South Korea,4
Cuba,1
Ivory Coast,1
Uzbekistan,1
Congo (Kinshasa),1
Taiwan,3
Venezuela,1
Syria,2
Germany,1
Peru,1
China,30
France,1
South Africa,3
Russia,2
India,14
